,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KGTF,Great Falls,1641023580,1641030780,N,-14.0,-19.0,79.0,S,,3.0,26.13,0.0,Fair,GTF,2022-01-01 07:53:00,1,1,2022,5,7,53,2022-01-01 09:53:00,9,53
1,KGTF,Great Falls,1641027180,1641034380,N,-16.0,-22.0,74.0,SW,,5.0,26.13,0.0,Fair,GTF,2022-01-01 08:53:00,1,1,2022,5,8,53,2022-01-01 10:53:00,10,53
2,KGTF,Great Falls,1641030780,1641037980,N,-20.0,-24.0,82.0,SW,,8.0,26.14,0.0,Fair,GTF,2022-01-01 09:53:00,1,1,2022,5,9,53,2022-01-01 11:53:00,11,53
3,KGTF,Great Falls,1641034380,1641041580,N,-14.0,-19.0,79.0,SSW,,12.0,26.13,0.0,Fair,GTF,2022-01-01 10:53:00,1,1,2022,5,10,53,2022-01-01 12:53:00,12,53
4,KGTF,Great Falls,1641037980,1641045180,N,-8.0,-15.0,71.0,SSW,,13.0,26.13,0.0,Fair,GTF,2022-01-01 11:53:00,1,1,2022,5,11,53,2022-01-01 13:53:00,13,53
5,KGTF,Great Falls,1641041580,1641048780,N,-5.0,-12.0,72.0,SSW,,14.0,26.12,0.0,Fair,GTF,2022-01-01 12:53:00,1,1,2022,5,12,53,2022-01-01 14:53:00,14,53
6,KGTF,Great Falls,1641045180,1641052380,N,-2.0,-10.0,69.0,SSW,,14.0,26.13,0.0,Fair,GTF,2022-01-01 13:53:00,1,1,2022,5,13,53,2022-01-01 15:53:00,15,53
7,KGTF,Great Falls,1641048780,1641055980,D,0.0,-9.0,66.0,SSW,,15.0,26.12,0.0,Fair,GTF,2022-01-01 14:53:00,1,1,2022,5,14,53,2022-01-01 16:53:00,16,53
8,KGTF,Great Falls,1641052380,1641059580,D,1.0,-8.0,66.0,SSW,,16.0,26.12,0.0,Fair,GTF,2022-01-01 15:53:00,1,1,2022,5,15,53,2022-01-01 17:53:00,17,53
9,KGTF,Great Falls,1641055980,1641063180,D,8.0,-5.0,55.0,SW,,22.0,26.12,0.0,Fair / Windy,GTF,2022-01-01 16:53:00,1,1,2022,5,16,53,2022-01-01 18:53:00,18,53
10,KGTF,Great Falls,1641059580,1641066780,D,11.0,-2.0,56.0,SSW,,16.0,26.11,0.0,Fair,GTF,2022-01-01 17:53:00,1,1,2022,5,17,53,2022-01-01 19:53:00,19,53
11,KGTF,Great Falls,1641063180,1641070380,D,13.0,0.0,56.0,SW,38.0,28.0,26.08,0.0,Fair / Windy,GTF,2022-01-01 18:53:00,1,1,2022,5,18,53,2022-01-01 20:53:00,20,53
12,KGTF,Great Falls,1641066780,1641073980,D,15.0,1.0,54.0,SW,36.0,25.0,26.07,0.0,Fair / Windy,GTF,2022-01-01 19:53:00,1,1,2022,5,19,53,2022-01-01 21:53:00,21,53
13,KGTF,Great Falls,1641070380,1641077580,D,16.0,1.0,52.0,SW,38.0,26.0,26.06,0.0,Partly Cloudy / Windy,GTF,2022-01-01 20:53:00,1,1,2022,5,20,53,2022-01-01 22:53:00,22,53
14,KGTF,Great Falls,1641073980,1641081180,D,16.0,1.0,52.0,SW,41.0,31.0,26.05,0.0,Fair / Windy,GTF,2022-01-01 21:53:00,1,1,2022,5,21,53,2022-01-01 23:53:00,23,53
15,KGTF,Great Falls,1641077580,1641084780,D,16.0,0.0,49.0,SW,31.0,23.0,26.07,0.0,Fair / Windy,GTF,2022-01-01 22:53:00,1,1,2022,5,22,53,2022-01-02 00:53:00,0,53
16,KGTF,Great Falls,1641081180,1641088380,N,16.0,1.0,52.0,SW,40.0,24.0,26.07,0.0,Fair / Windy,GTF,2022-01-01 23:53:00,1,1,2022,5,23,53,2022-01-02 01:53:00,1,53
17,KGTF,Great Falls,1641084780,1641091980,N,18.0,2.0,50.0,SW,39.0,28.0,26.06,0.0,Fair / Windy,GTF,2022-01-02 00:53:00,2,1,2022,6,0,53,2022-01-02 02:53:00,2,53
18,KGTF,Great Falls,1641088380,1641095580,N,20.0,4.0,50.0,SW,39.0,29.0,26.07,0.0,Mostly Cloudy / Windy,GTF,2022-01-02 01:53:00,2,1,2022,6,1,53,2022-01-02 03:53:00,3,53
19,KGTF,Great Falls,1641091980,1641099180,N,20.0,5.0,52.0,SW,38.0,28.0,26.07,0.0,Fair / Windy,GTF,2022-01-02 02:53:00,2,1,2022,6,2,53,2022-01-02 04:53:00,4,53
20,KGTF,Great Falls,1641095580,1641102780,N,20.0,7.0,57.0,SW,45.0,33.0,26.08,0.0,Fair / Windy,GTF,2022-01-02 03:53:00,2,1,2022,6,3,53,2022-01-02 05:53:00,5,53
21,KGTF,Great Falls,1641099180,1641106380,N,22.0,6.0,51.0,SW,43.0,33.0,26.09,0.0,Fair / Windy,GTF,2022-01-02 04:53:00,2,1,2022,6,4,53,2022-01-02 06:53:00,6,53
22,KGTF,Great Falls,1641102780,1641109980,N,23.0,8.0,53.0,SW,46.0,33.0,26.1,0.0,Fair / Windy,GTF,2022-01-02 05:53:00,2,1,2022,6,5,53,2022-01-02 07:53:00,7,53
23,KGTF,Great Falls,1641106380,1641113580,N,24.0,9.0,53.0,SW,41.0,29.0,26.12,0.0,Partly Cloudy / Windy,GTF,2022-01-02 06:53:00,2,1,2022,6,6,53,2022-01-02 08:53:00,8,53
