,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KSUN,Hailey,1641021300,1641028500,N,3.0,-4.0,72.0,WNW,,10.0,24.51,0.0,Fair,SUN,2022-01-01 07:15:00,1,1,2022,5,7,15,2022-01-01 09:15:00,9,15
1,KSUN,Hailey,1641022500,1641029700,N,5.0,-4.0,66.0,NW,,9.0,24.52,0.0,Fair,SUN,2022-01-01 07:35:00,1,1,2022,5,7,35,2022-01-01 09:35:00,9,35
2,KSUN,Hailey,1641023700,1641030900,N,3.0,-4.0,72.0,NW,,10.0,24.53,0.0,Fair,SUN,2022-01-01 07:55:00,1,1,2022,5,7,55,2022-01-01 09:55:00,9,55
3,KSUN,Hailey,1641024900,1641032100,N,5.0,-4.0,66.0,NW,,13.0,24.53,0.0,Fair,SUN,2022-01-01 08:15:00,1,1,2022,5,8,15,2022-01-01 10:15:00,10,15
4,KSUN,Hailey,1641026100,1641033300,N,3.0,-4.0,72.0,NW,,9.0,24.54,0.0,Fair,SUN,2022-01-01 08:35:00,1,1,2022,5,8,35,2022-01-01 10:35:00,10,35
5,KSUN,Hailey,1641027300,1641034500,N,5.0,-4.0,66.0,NNW,,10.0,24.54,0.0,Fair,SUN,2022-01-01 08:55:00,1,1,2022,5,8,55,2022-01-01 10:55:00,10,55
6,KSUN,Hailey,1641028500,1641035700,N,3.0,-4.0,72.0,NNW,18.0,13.0,24.56,0.0,Fair,SUN,2022-01-01 09:15:00,1,1,2022,5,9,15,2022-01-01 11:15:00,11,15
7,KSUN,Hailey,1641029700,1641036900,N,3.0,-4.0,72.0,NW,,15.0,24.57,0.0,Fair,SUN,2022-01-01 09:35:00,1,1,2022,5,9,35,2022-01-01 11:35:00,11,35
8,KSUN,Hailey,1641030900,1641038100,N,3.0,-6.0,66.0,NW,,13.0,24.58,0.0,Fair,SUN,2022-01-01 09:55:00,1,1,2022,5,9,55,2022-01-01 11:55:00,11,55
9,KSUN,Hailey,1641032100,1641039300,N,3.0,-6.0,66.0,NNW,,10.0,24.58,0.0,Fair,SUN,2022-01-01 10:15:00,1,1,2022,5,10,15,2022-01-01 12:15:00,12,15
10,KSUN,Hailey,1641033300,1641040500,N,3.0,-4.0,72.0,NNW,17.0,13.0,24.59,0.0,Fair,SUN,2022-01-01 10:35:00,1,1,2022,5,10,35,2022-01-01 12:35:00,12,35
11,KSUN,Hailey,1641034500,1641041700,N,1.0,-6.0,72.0,NW,18.0,14.0,24.6,0.0,Fair,SUN,2022-01-01 10:55:00,1,1,2022,5,10,55,2022-01-01 12:55:00,12,55
12,KSUN,Hailey,1641035700,1641042900,N,1.0,-6.0,72.0,NW,,12.0,24.6,0.0,Fair,SUN,2022-01-01 11:15:00,1,1,2022,5,11,15,2022-01-01 13:15:00,13,15
13,KSUN,Hailey,1641036900,1641044100,N,1.0,-6.0,72.0,NW,20.0,16.0,24.6,0.0,Fair,SUN,2022-01-01 11:35:00,1,1,2022,5,11,35,2022-01-01 13:35:00,13,35
14,KSUN,Hailey,1641038100,1641045300,N,1.0,-8.0,66.0,NW,,14.0,24.61,0.0,Fair,SUN,2022-01-01 11:55:00,1,1,2022,5,11,55,2022-01-01 13:55:00,13,55
